id_task,application_type,creation_date,completion_date,time_compute (s),time_env (s),time_dl (s),time_up (s),mobo_uuid,qrad_uuid,qbox_uuid,cpu_name,nb_cores,status,dataset,dataset_size,node_id
3045074,Risk,2022-07-13 15:28:26,2022-07-13 16:11:48,2469,123,4,0,4F424F4D-58D8-01D7-3848-00D861155646,44415251-58D8-01D7-3848-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Cancelled,ds845,209,3
2939424,3DRender,2022-06-28 20:19:31,2022-06-28 20:26:24,410,1,1,2,4F424F4D-58D8-01D7-3A6D-00D86115557E,44415251-58D8-01D7-3A6D-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds1,156,4
1480355,Risk,2021-11-11 19:03:41,2021-11-11 19:04:53,0,68,1,1,4F424F4D-58D8-01D7-376A-00D8619C740B,44415251-58D8-01D7-376A-000000000000,584f4251-4000-0000-1001-000000000001,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds5,84,4
78012,Risk,2021-02-11 11:12:32,2021-02-16 11:15:27,432050,110,9,0,4F424F4D-58D8-01D7-3842-00D8619C77DD,44415251-58D8-01D7-3842-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds2,204,1
1339958,3DRender,2021-10-17 20:42:02,2021-10-17 20:45:05,173,1,1,0,4F424F4D-ADF0-084E-AC2E-00D8619C75FF,44415251-ADF0-084E-AC2E-000000000000,584f4251-4000-0000-1000-000000000017,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds1,156,0
1182948,3DRender,2021-09-22 21:46:03,2021-09-22 21:49:32,106,99,1,3,4F424F4D-58D8-00D7-B137-00D861156A0F,44415251-58D8-00D7-B137-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds9,149,2
3195928,3DRender,2022-08-02 16:38:55,2022-08-02 16:44:07,308,1,1,2,4F424F4D-58D8-00D7-A59A-00D8619C7412,44415251-58D8-00D7-A59A-000000000000,584f4251-4000-0000-1000-000000000019,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds404,136,0
1464986,3DRender,2021-11-08 11:02:42,2021-11-08 11:07:31,286,1,1,2,4F424F4D-58D8-00D7-B0AA-00D861C8FC45,44415251-58D8-00D7-B0AA-000000000000,584f4251-2000-0000-0001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds4,254,1
2819721,3DRender,2022-06-16 10:54:14,2022-06-16 10:56:48,151,1,1,1,4F424F4D-58D8-00D7-B137-00D861156A07,44415251-58D8-00D7-B137-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds118,95,0
2663122,3DRender,2022-05-31 16:59:01,2022-05-31 17:00:46,3,100,1,1,4F424F4D-58D8-00D7-A615-00D8619C7443,44415251-58D8-00D7-A615-000000000000,584f4251-4000-0000-1000-000000000015,AMD Ryzen 7 2700X Eight-Core Processor,8,Failed,ds9,149,2
2309145,3DRender,2022-04-07 09:24:52,2022-04-07 09:36:02,498,137,32,2,4F424F4D-ADF0-084E-ABC1-049226DA6497,44415251-ADF0-084E-ABC1-000000000000,584f4251-4000-0000-1000-000000000016,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds2,204,0
3573994,3DRender,2022-10-10 13:51:12,2022-10-10 13:56:16,49,206,45,2,4F424F4D-58D8-00D7-AF51-049226DA6493,44415251-58D8-00D7-AF51-000000000000,584f4251-4000-0000-1000-000000000006,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds1,156,2
2952290,3DRender,2022-06-29 16:32:04,2022-06-29 16:36:25,252,1,1,0,4F424F4D-58D8-00D7-B137-00D861156AC1,44415251-58D8-00D7-B137-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds1,156,2
2497561,Risk,2022-04-28 14:12:22,2022-05-04 09:37:53,501795,108,11,2,4F424F4D-58D8-00D7-A70E-00D8619C75DC,44415251-58D8-00D7-A70E-000000000000,584f4251-4000-0000-1000-000000000015,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds439,114,3
1692909,Risk,2022-01-10 04:29:10,2022-01-10 04:31:34,77,64,1,1,4F424F4D-58D8-01D7-3AB5-00D861C8FAE7,44415251-58D8-01D7-3AB5-000000000000,584f4251-3000-0000-2000-000000000002,AMD Ryzen 7 2700 Eight-Core Processor,8,Preempted,ds896,185,4
1143758,Risk,2021-09-20 13:44:27,2021-09-21 00:52:27,39921,131,8,0,4F424F4D-58D8-01D7-3A6D-00D861156B47,44415251-58D8-01D7-3A6D-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds17,206,4
1605567,Risk,2021-12-14 13:45:36,2021-12-14 13:54:44,250,101,1,1,4F424F4D-58D8-01D7-3653-00D861156AC9,44415251-58D8-01D7-3653-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Cancelled,ds1,156,3
2081864,3DRender,2022-03-02 16:18:08,2022-03-02 16:24:17,121,127,101,19,4F424F4D-58D8-01D7-3A91-00D8617B0C4D,44415251-58D8-01D7-3A91-000000000000,584f4251-4000-0000-1000-000000000006,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds1,156,3
927625,Risk,2021-07-22 13:27:18,2021-07-26 17:19:08,359415,62,10,0,4F424F4D-58D8-01D7-3AB8-00D8612D22A6,44415251-58D8-01D7-3AB8-000000000000,584f4251-3000-0000-2000-000000000006,AMD Ryzen 7 2700 Eight-Core Processor,8,Preempted,ds8,199,3
1618728,3DRender,2021-12-16 14:05:58,2021-12-16 14:09:51,136,93,1,3,4F424F4D-58D8-01D7-3A6D-00D861155692,44415251-58D8-01D7-3A6D-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds29,96,3
732506,Risk,2021-06-24 12:27:07,2021-06-28 13:07:31,347887,120,3,0,4F424F4D-ADF0-084E-AC68-00D86115561B,44415251-ADF0-084E-AC68-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds980,163,2
2152900,3DRender,2022-03-10 03:48:21,2022-03-10 03:51:36,190,1,1,4,4F424F4D-ADF0-094E-099B-00D8617B0BE8,44415251-ADF0-094E-099B-000000000000,584f4251-4000-0000-1001-000000000006,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Completed,ds1,156,1
107951,Risk,2021-02-24 07:17:29,2021-02-24 09:14:02,6877,83,26,0,4F424F4D-ADF0-084E-AC68-00D86115571D,44415251-ADF0-084E-AC68-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds456,112,1
2565472,3DRender,2022-05-10 10:27:34,2022-05-10 10:29:18,2,101,1,1,4F424F4D-ADF0-084E-ABEE-00D8619C75C7,44415251-ADF0-084E-ABEE-000000000000,584f4251-4000-0000-1000-000000000012,AMD Ryzen 7 2700X Eight-Core Processor,8,Failed,ds51,179,2
1091741,Risk,2021-08-29 19:29:51,2021-09-02 10:11:47,311971,124,1,0,4F424F4D-58D8-01D7-3842-00D8619C7352,44415251-58D8-01D7-3842-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds594,107,3
490090,3DRender,2021-05-14 17:22:54,2021-05-14 17:28:34,284,54,1,1,4F424F4D-58D8-00D7-B128-00D861C1E9B0,44415251-58D8-00D7-B128-000000000000,584f4251-2000-0000-0001-000000000001,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds219,130,0
180164,3DRender,2021-03-22 19:03:38,2021-03-22 19:13:50,542,67,1,1,4F424F4D-58D8-01D7-3B00-00D861C8FB31,44415251-58D8-01D7-3B00-000000000000,584f4251-2001-0000-0000-000000000001,AMD Ryzen 7 2700 Eight-Core Processor,8,Completed,ds2,204,3
2351071,3DRender,2022-04-13 04:21:02,2022-04-13 04:22:52,4,101,4,1,4F424F4D-58D8-00D7-B137-00D861156A9F,44415251-58D8-00D7-B137-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds2,204,1
1057438,Risk,2021-08-29 05:08:49,2021-08-29 05:10:13,0,0,76,0,4F424F4D-58D8-01D7-384B-00D8619C74D8,44415251-58D8-01D7-384B-000000000000,584f4251-4000-0000-1001-000000000001,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds39,32,4
1225124,3DRender,2021-09-29 12:55:00,2021-09-29 12:58:19,107,74,14,2,4F424F4D-58D8-01D7-3AEE-00D8617B5E25,44415251-58D8-01D7-3AEE-000000000000,584f4251-2001-0000-0000-000000000001,AMD Ryzen 7 2700 Eight-Core Processor,8,Completed,ds6,143,1
