id_task,application_type,creation_date,completion_date,time_compute (s),time_env (s),time_dl (s),time_up (s),mobo_uuid,qrad_uuid,qbox_uuid,cpu_name,nb_cores,status,dataset,dataset_size,node_id
1110328,Risk,2021-09-09 07:20:48,2021-09-09 07:38:13,931,98,1,0,4F424F4D-ADF0-084E-AC68-00D86115561A,44415251-ADF0-084E-AC68-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds16,391,3
1114954,Risk,2021-09-10 20:21:48,2021-09-10 20:23:25,0,91,1,0,4F424F4D-ADF0-084E-AC68-00D861155688,44415251-ADF0-084E-AC68-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds309,422,2
1563797,3DRender,2021-12-02 19:25:01,2021-12-02 20:07:10,2429,94,1,5,4F424F4D-58D8-00D7-B137-00D861156A0F,44415251-58D8-00D7-B137-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds29,926,5
2577785,Risk,2022-05-12 16:26:24,2022-05-12 16:32:53,265,108,5,1,4F424F4D-58D8-00D7-A70E-00D8619C789F,44415251-58D8-00D7-A70E-000000000000,584f4251-4000-0000-1000-000000000015,AMD Ryzen 7 2700X Eight-Core Processor,8,Cancelled,ds551,247,4
1131338,3DRender,2021-09-15 15:19:06,2021-09-15 15:30:00,554,98,1,1,4F424F4D-58D8-01D7-3842-00D8619C7350,44415251-58D8-01D7-3842-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds81,663,2
704636,3DRender,2021-06-21 11:20:03,2021-06-21 11:32:52,765,1,1,3,4F424F4D-58D8-01D7-3AF1-00D861C8FC84,44415251-58D8-01D7-3AF1-000000000000,584f4251-3000-0000-2000-000000000002,AMD Ryzen 7 2700 Eight-Core Processor,8,Completed,ds7,394,6
3485023,3DRender,2022-09-28 03:37:38,2022-09-28 03:53:39,754,206,1,1,4F424F4D-ADF0-084E-AC6B-049226DA3DE9,44415251-ADF0-084E-AC6B-000000000000,584f4251-4000-0000-1000-000000000006,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Failed,ds9,466,7
1812034,Risk,2022-01-28 09:32:58,2022-01-28 09:36:08,0,0,181,1,4F424F4D-58D8-00D7-A3E7-00D8619C7522,44415251-58D8-00D7-A3E7-000000000000,584f4251-4000-0000-1000-000000000019,AMD Ryzen 7 2700X Eight-Core Processor,8,Failed,ds1,681,1
525566,3DRender,2021-05-20 08:55:55,2021-05-20 08:59:15,0,197,1,0,4F424F4D-58D8-01D7-3809-049226D9D984,44415251-58D8-01D7-3809-000000000000,584f4251-4000-0000-1000-000000000004,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Preempted,ds1,681,3
1564935,Risk,2021-12-03 03:07:18,2021-12-03 03:10:36,65,104,22,1,4F424F4D-ADF0-084E-AC68-00D861155613,44415251-ADF0-084E-AC68-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds46,312,6
